22 10:55:40.187 | INFO  | main  | tools.GetProjectInfo:80    | start...
22 10:55:40.809 | DEBUG | main  | tools.GetProjectInfo:255   | caoyang OK.
22 10:55:40.810 | DEBUG | main  | tools.GetProjectInfo:255   | chengcca OK.
22 10:55:40.810 | DEBUG | main  | tools.GetProjectInfo:255   | chengwba OK.
22 10:55:40.810 | DEBUG | main  | tools.GetProjectInfo:255   | hedba OK.
22 10:55:40.810 | DEBUG | main  | tools.GetProjectInfo:255   | helei OK.
22 10:55:40.810 | DEBUG | main  | tools.GetProjectInfo:255   | huangqiana OK.
22 10:55:40.811 | DEBUG | main  | tools.GetProjectInfo:255   | lanyonga OK.
22 10:55:40.811 | DEBUG | main  | tools.GetProjectInfo:255   | liurla OK.
22 10:55:40.811 | DEBUG | main  | tools.GetProjectInfo:255   | liyina OK.
22 10:55:40.811 | DEBUG | main  | tools.GetProjectInfo:255   | luohqa OK.
22 10:55:40.811 | DEBUG | main  | tools.GetProjectInfo:255   | qinsx OK.
22 10:55:40.811 | DEBUG | main  | tools.GetProjectInfo:255   | sunleia OK.
22 10:55:40.811 | DEBUG | main  | tools.GetProjectInfo:255   | tangcheng OK.
22 10:55:40.812 | DEBUG | main  | tools.GetProjectInfo:255   | tanjiana OK.
22 10:55:40.812 | DEBUG | main  | tools.GetProjectInfo:255   | yanyma OK.
22 10:55:40.812 | DEBUG | main  | tools.GetProjectInfo:255   | yaolia OK.
22 10:55:40.812 | DEBUG | main  | tools.GetProjectInfo:255   | zhaojl OK.
22 10:55:40.812 | DEBUG | main  | tools.GetProjectInfo:255   | zhongcya OK.
22 10:55:40.812 | DEBUG | main  | tools.GetProjectInfo:255   | zhukanga OK.
22 10:55:40.813 | DEBUG | main  | tools.GetProjectInfo:255   | zengkai OK.
22 10:55:40.813 | DEBUG | main  | tools.GetProjectInfo:255   | lihui OK.
22 10:55:40.813 | DEBUG | main  | tools.GetProjectInfo:255   | shenting OK.
22 10:55:40.813 | DEBUG | main  | tools.GetProjectInfo:255   | fuzh OK.
22 10:55:40.813 | DEBUG | main  | tools.GetProjectInfo:255   | zhangli OK.
22 10:55:40.813 | DEBUG | main  | tools.GetProjectInfo:255   | baoqm OK.
22 10:55:40.813 | DEBUG | main  | tools.GetProjectInfo:255   | weihao OK.
22 10:55:40.813 | DEBUG | main  | tools.GetProjectInfo:255   | panss OK.
22 10:55:41.123 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班baoqm, 2014-04-01**8.5
22 10:55:41.123 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班baoqm, 2014-04-21**10.0
22 10:55:41.124 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班chengwba, 2014-04-11**8.5
22 10:55:41.124 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班chengwba, 2014-04-18**8.3333
22 10:55:41.125 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班fuzh, 2014-04-21**16.0
22 10:55:41.126 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班lanyonga, 2014-04-21**32.0
22 10:55:41.127 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班liurla, 2014-04-15**8.5
22 10:55:41.127 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班liyina, 2014-04-01**9.0
22 10:55:41.127 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班liyina, 2014-04-09**8.5
22 10:55:41.128 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班liyina, 2014-04-21**9.0
22 10:55:41.130 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班yanyma, 2014-04-10**9.0
22 10:55:41.130 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班yanyma, 2014-04-11**9.0
22 10:55:41.130 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班yanyma, 2014-04-15**9.0
22 10:55:41.131 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班zhangli, 2014-04-21**16.0
22 10:55:41.131 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班zhongcya, 2014-04-08**9.0
22 10:55:41.132 | INFO  | main  | ogstatJDBCTemplate$2:58    | 加班zhongcya, 2014-04-15**9.0
22 10:55:41.158 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-113, ratio=0.0, pv=0.0, timeoriginal=57600
22 10:55:41.158 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17117 and customfield = 10601
22 10:55:41.158 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-132, ratio=0.0, pv=0.0, timeoriginal=18000
22 10:55:41.158 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 18000 where issue = 17165 and customfield = 10601
22 10:55:41.159 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-128, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.159 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17142 and customfield = 10601
22 10:55:41.160 | INFO  | main  | EvStatJDBCTemplate$1:81    | ESP1, pkey=ESPA-91, ratio=0.0, pv=0.0, timeoriginal=144000
22 10:55:41.160 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 144000 where issue = 16398 and customfield = 10601
22 10:55:41.160 | INFO  | main  | EvStatJDBCTemplate$1:81    | ESP1, pkey=ESPA-1, ratio=0.0, pv=0.0, timeoriginal=432000
22 10:55:41.160 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 432000 where issue = 15529 and customfield = 10601
22 10:55:41.161 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-26, ratio=0.0, pv=0.0, timeoriginal=288000
22 10:55:41.161 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 288000 where issue = 16822 and customfield = 10601
22 10:55:41.161 | INFO  | main  | EvStatJDBCTemplate$1:81    | ESP1, pkey=ESPA-182, ratio=0.0, pv=0.0, timeoriginal=432000
22 10:55:41.161 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 432000 where issue = 16911 and customfield = 10601
22 10:55:41.162 | INFO  | main  | EvStatJDBCTemplate$1:81    | ESP1, pkey=ESPA-183, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.162 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 16912 and customfield = 10601
22 10:55:41.162 | INFO  | main  | EvStatJDBCTemplate$1:81    | ESP1, pkey=ESPA-189, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.163 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 16931 and customfield = 10601
22 10:55:41.163 | INFO  | main  | EvStatJDBCTemplate$1:81    | ESP1, pkey=ESPA-192, ratio=0.0, pv=0.0, timeoriginal=57600
22 10:55:41.163 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 16937 and customfield = 10601
22 10:55:41.164 | INFO  | main  | EvStatJDBCTemplate$1:81    | CEP2, pkey=CEPB-217, ratio=1.2, pv=0.0, timeoriginal=28800
22 10:55:41.164 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17151 and customfield = 10601
22 10:55:41.164 | INFO  | main  | EvStatJDBCTemplate$1:81    | CEP2, pkey=CEPB-211, ratio=0.0, pv=0.0, timeoriginal=57600
22 10:55:41.165 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17010 and customfield = 10601
22 10:55:41.165 | INFO  | main  | EvStatJDBCTemplate$1:81    | CEP2, pkey=CEPB-212, ratio=0.0, pv=0.0, timeoriginal=57600
22 10:55:41.165 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17016 and customfield = 10601
22 10:55:41.166 | INFO  | main  | EvStatJDBCTemplate$1:81    | CEP2, pkey=CEPB-214, ratio=0.0, pv=0.0, timeoriginal=57600
22 10:55:41.166 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17122 and customfield = 10601
22 10:55:41.166 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-102, ratio=0.0, pv=0.0, timeoriginal=144000
22 10:55:41.166 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 144000 where issue = 17028 and customfield = 10601
22 10:55:41.167 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-123, ratio=0.0, pv=0.0, timeoriginal=57600
22 10:55:41.167 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17130 and customfield = 10601
22 10:55:41.167 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-62, ratio=0.0, pv=0.0, timeoriginal=57600
22 10:55:41.167 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17026 and customfield = 10601
22 10:55:41.168 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-73, ratio=0.0, pv=0.0, timeoriginal=115200
22 10:55:41.168 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 115200 where issue = 17140 and customfield = 10601
22 10:55:41.168 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-20, ratio=0.0, pv=0.0, timeoriginal=180
22 10:55:41.168 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 180 where issue = 16848 and customfield = 10601
22 10:55:41.169 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-21, ratio=0.0, pv=0.0, timeoriginal=300
22 10:55:41.169 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 300 where issue = 16849 and customfield = 10601
22 10:55:41.170 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-22, ratio=0.0, pv=0.0, timeoriginal=300
22 10:55:41.170 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 300 where issue = 16850 and customfield = 10601
22 10:55:41.171 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-23, ratio=0.0, pv=0.0, timeoriginal=300
22 10:55:41.172 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 300 where issue = 16851 and customfield = 10601
22 10:55:41.172 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-1, ratio=0.0, pv=0.0, timeoriginal=86400
22 10:55:41.172 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 86400 where issue = 16664 and customfield = 10601
22 10:55:41.173 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-3, ratio=0.0, pv=0.0, timeoriginal=288000
